timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1462308819298,7612,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,221258,1,1,0
1462308965080,5484,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,221258,1,1,0
1462309103394,5353,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,221258,1,1,0
1462309240581,5455,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,221258,1,1,0
1462309377918,6035,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,221258,1,1,0
1462309515873,5592,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,221258,1,1,0
1462309653351,5491,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,221258,1,1,0
1462309790547,5452,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,221258,1,1,0
1462309927960,5356,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,221258,1,1,0
1462310065206,5340,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,221258,1,1,0
