timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1462310306619,8099,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,223690,1,1,0
1462310598436,7915,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,223690,1,1,0
1462310901878,7918,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,223690,1,1,0
1462311140802,8402,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,223690,1,1,0
1462311410502,11811,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,223690,1,1,0
1462311658702,8875,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,223690,1,1,0
1462311961728,8394,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,223690,1,1,0
1462312215899,7845,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,223690,1,1,0
1462312505741,8244,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,223690,1,1,0
1462312739957,7937,SUCCESS: Deployment of choreography successfully completed.,,,Test Scenario 1-1,text,true,223690,1,1,0
